date,visits
2013-09-01,56700
2013-10-01,62700
2013-11-01,57200
2013-12-01,54500
2014-01-01,56300
2014-02-01,54800
2014-03-01,59200
2014-04-01,64000
2014-05-01,65000
2014-06-01,58700
2014-07-01,63420
2014-08-01,58250
2014-09-01,61400
2014-10-01,59600
2014-11-01,61700
2014-12-01,54600
2015-01-01,55720
2015-02-01,54290
2015-03-01,61350
2015-04-01,61880
2015-05-01,60280
2015-06-01,60730
2015-07-01,60240
2015-08-01,57440
2015-09-01,58860
2015-10-01,64700
2015-11-01,62200
2015-12-01,60300
2016-01-01,59775
2016-02-01,60771
2016-03-01,72329
2016-04-01,67520
2016-05-01,68260
2016-06-01,70720
2016-07-01,59220
2016-08-01,68710
2016-09-01,68420
2016-10-01,65160
2016-11-01,71665
2016-12-01,60650
2017-01-01,65270
2017-02-01,62440
2017-03-01,74680
2017-04-01,62125
2017-05-01,68620
2017-06-01,68050
2017-07-01,61300
2017-08-01,66210
2017-09-01,60640
2017-10-01,64110
2017-11-01,69000
2017-12-01,51960
2018-01-01,62550
2018-02-01,57685
2018-03-01,66600
2018-04-01,60369
2018-05-01,68158
2018-06-01,60402
2018-07-01,60009
2018-08-01,67023
2018-09-01,61799
2018-10-01,70705
2018-11-01,71764
2018-12-01,62755
2019-01-01,68534
2019-02-01,59733
2019-03-01,72726
2019-04-01,67523
2019-05-01,74752
2019-06-01,67604
2019-07-01,70286
2019-08-01,66604
2019-09-01,68340
2019-10-01,77584
2019-11-01,70689
2019-12-01,56922
2020-01-01,71011
2020-02-01,68254
2020-03-01,76135
2020-04-01,79901
2020-05-01,85293
2020-06-01,84123
2020-07-01,100903
2020-08-01,98808
2020-09-01,106415
2020-10-01,109699
2020-11-01,99659
2020-12-01,108709
2021-01-01,106160
2021-02-01,102874
2021-03-01,123128
2021-04-01,113910
2021-05-01,112708
2021-06-01,124234
2021-07-01,113980
2021-08-01,112391
2021-09-01,116626
2021-10-01,116278
2021-11-01,126820
2021-12-01,120588
2022-01-01,111231
2022-02-01,127837
2022-03-01,160290
2022-04-01,143671
2022-05-01,151758
2022-06-01,171631
2022-07-01,153990
2022-08-01,182269
2022-09-01,186103
2022-10-01,188920
2022-11-01,208108
2022-12-01,184804
2023-01-01,209773
2023-02-01,215848
2023-03-01,267379
2023-04-01,227540
2023-05-01,270019
2023-06-01,266819
2023-07-01,239653
2023-08-01,274851
2023-09-01,246125
